CODE,DESCRIPTION,NON-FACILITY GLOBAL FEE,FACILITY GLOBAL FEE,PROFESSIONAL COMPONENT FEE,BR,PA,FU DAYS,CHANGE
27640,"PARTIAL EXCISION (CRATERIZATION, SAUCERI",508.27,423.56,NA,NA,0,90,NA
27641,"PARTIAL EXCISION (CRATERIZATION, SAUCERI",409.08,340.9,NA,NA,0,90,NA
27645,RADICAL RESECTION OF TUMOR; TIBIA,612.02,510.02,NA,NA,0,90,NA
27646,RADICAL RESECTION OF TUMOR; FIBULA,545.64,454.7,NA,NA,0,90,NA
27647,RADICAL RESECTION OF TUMOR; TALUS OR CAL,476.09,396.75,NA,NA,0,90,NA
27648,INJECTION PROCEDURE FOR ANKLE ARTHROGRAP,100.25,24.89,NA,NA,0,0,NA
27650,"REPAIR, PRIMARY, OPEN OR PERCUTANEOUS, R",406.82,339.02,NA,NA,0,90,NA
27652,"REPAIR, PRIMARY, OPEN OR PERCUTANEOUS, R",433.95,361.63,NA,NA,0,90,NA
27654,"REPAIR, SECONDARY, ACHILLES TENDON, WITH",407.83,339.86,NA,NA,0,90,NA
27656,"REPAIR, FASCIAL DEFECT OF LEG",312.86,166.99,NA,NA,0,90,NA
27658,"REPAIR, FLEXOR TENDON, LEG; PRIMARY, WIT",224.26,186.89,NA,NA,0,90,NA
27659,"REPAIR, FLEXOR TENDON, LEG; SECONDARY, W",294.22,245.19,NA,NA,0,90,NA
27664,"REPAIR, EXTENSOR TENDON, LEG; PRIMARY, W",215.71,179.76,NA,NA,0,90,NA
27665,"REPAIR, EXTENSOR TENDON, LEG; SECONDARY,",NA,NA,NA,BR,0,90,NA
27675,"REPAIR, DISLOCATING PERONEAL TENDONS; WI",301,250.84,NA,NA,0,90,NA
27676,"REPAIR, DISLOCATING PERONEAL TENDONS; WI",360,300,NA,NA,0,90,NA
27680,"TENOLYSIS, FLEXOR OR EXTENSOR TENDON, LE",253.27,211.06,NA,NA,0,90,NA
27681,"TENOLYSIS, FLEXOR OR EXTENSOR TENDON, LE",303.02,252.52,NA,NA,0,90,NA
27685,"LENGTHENING OR SHORTENING OF TENDON, LEG",353.84,232.93,NA,NA,0,90,NA
27686,"LENGTHENING OR SHORTENING OF TENDON, LEG",328.77,273.98,NA,NA,0,90,NA
27687,"GASTROCNEMIUS RECESSION (EG, STRAYER PRO",271.67,226.39,NA,NA,0,90,NA
27690,TRANSFER OR TRANSPLANT OF SINGLE TENDON,356.93,297.44,NA,NA,0,90,NA
27691,TRANSFER OR TRANSPLANT OF SINGLE TENDON,424,353.34,NA,NA,0,90,NA
27692,TRANSFER OR TRANSPLANT OF SINGLE TENDON,65.6,54.67,NA,NA,0,0,NA
27695,"REPAIR, PRIMARY, DISRUPTED LIGAMENT, ANK",290.17,241.81,NA,NA,0,90,NA
27696,"REPAIR, PRIMARY, DISRUPTED LIGAMENT, ANK",345.37,287.81,NA,NA,0,90,NA
27698,"REPAIR, SECONDARY, DISRUPTED LIGAMENT, A",384.5,320.42,NA,NA,0,90,NA
27700,"ARTHROPLASTY, ANKLE;",357.98,300,NA,NA,0,90,NA
27702,"ARTHROPLASTY, ANKLE; WITH IMPLANT (TOTAL",580.03,483.36,NA,NA,0,90,NA
27703,"ARTHROPLASTY, ANKLE; REVISION, TOTAL ANK",NA,NA,NA,BR,0,90,NA
27704,REMOVAL OF ANKLE IMPLANT,323.48,269.57,NA,NA,0,90,NA
27705,OSTEOTOMY; TIBIA,446.18,371.82,NA,NA,0,90,NA
27707,OSTEOTOMY; FIBULA,228.23,190.2,NA,NA,0,90,NA
27709,OSTEOTOMY; TIBIA AND FIBULA,615.2,512.67,NA,NA,0,90,NA
27712,"OSTEOTOMY; MULTIPLE, WITH REALIGNMENT ON",624.07,520.06,NA,NA,0,90,NA
27715,"OSTEOPLASTY, TIBIA AND FIBULA, LENGTHENI",613.58,511.32,NA,NA,0,90,NA
27720,"REPAIR OF NONUNION OR MALUNION, TIBIA; W",508.77,423.98,NA,NA,0,90,NA
27722,"REPAIR OF NONUNION OR MALUNION, TIBIA; W",506.91,422.43,NA,NA,0,90,NA
27724,"REPAIR OF NONUNION OR MALUNION, TIBIA; W",741.44,617.87,NA,NA,0,90,NA
27725,"REPAIR OF NONUNION OR MALUNION, TIBIA; B",687.88,573.24,NA,NA,0,90,NA
27726,REPAIR OF FIBULA NONUNION AND/OR MALUNIO,510.79,425.66,NA,NA,0,90,NA
27727,"REPAIR OF CONGENITAL PSEUDARTHROSIS, TIB",NA,NA,NA,BR,0,90,NA
27730,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPE",338.12,281.77,NA,NA,0,90,NA
27732,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPE",238.88,220,NA,NA,0,90,NA
27734,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPE",361.62,330,NA,NA,0,90,NA
27740,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), ANY",409.78,341.48,NA,NA,0,90,NA
27742,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), ANY",400,400,NA,NA,0,90,NA
27745,"PROPHYLACTIC TREATMENT (NAILING, PINNING",437.66,364.72,NA,NA,0,90,NA
27750,CLOSED TREATMENT OF TIBIAL SHAFT FRACTUR,190.6,143.45,NA,NA,0,90,NA
27752,CLOSED TREATMENT OF TIBIAL SHAFT FRACTUR,303.34,234.12,NA,NA,0,90,NA
27756,PERCUTANEOUS SKELETAL FIXATION OF TIBIAL,326.12,271.77,NA,NA,0,90,NA
27758,"OPEN TREATMENT OF TIBIAL SHAFT FRACTURE,",510.77,425.65,NA,NA,0,90,NA
27759,TREATMENT OF TIBIAL SHAFT FRACTURE (WITH,579.47,482.89,NA,NA,0,90,NA
27760,CLOSED TREATMENT OF MEDIAL MALLEOLUS FRA,184.07,135.96,NA,NA,0,90,NA
27762,CLOSED TREATMENT OF MEDIAL MALLEOLUS FRA,273.23,208.41,NA,NA,0,90,NA
27766,OPEN TREATMENT OF MEDIAL MALLEOLUS FRACT,354.56,295.47,NA,NA,0,90,NA
27767,CLOSED TREATMENT OF POSTERIOR MALLEOLUS,146.81,122.96,NA,NA,0,90,NA
27768,CLOSED TREATMENT OF POSTERIOR MALLEOLUS,225.53,187.95,NA,NA,0,90,NA
27769,OPEN TREATMENT OF POSTERIOR MALLEOLUS FR,386.36,321.97,NA,NA,0,90,NA
27780,CLOSED TREATMENT OF PROXIMAL FIBULA OR S,163.76,120.88,NA,NA,0,90,NA
27781,CLOSED TREATMENT OF PROXIMAL FIBULA OR S,235.43,181.02,NA,NA,0,90,NA
27784,OPEN TREATMENT OF PROXIMAL FIBULA OR SHA,385.49,321.25,NA,NA,0,90,NA
27786,CLOSED TREATMENT OF DISTAL FIBULAR FRACT,174.5,127.37,NA,NA,0,90,NA
27788,CLOSED TREATMENT OF DISTAL FIBULAR FRACT,239.54,181.77,NA,NA,0,90,NA
27792,OPEN TREATMENT OF DISTAL FIBULAR FRACTUR,394.1,328.42,NA,NA,0,90,NA
27808,CLOSED TREATMENT OF BIMALLEOLAR ANKLE FR,182.87,133.93,NA,NA,0,90,NA
27810,CLOSED TREATMENT OF BIMALLEOLAR ANKLE FR,268.04,203.27,NA,NA,0,90,NA
27814,OPEN TREATMENT OF BIMALLEOLAR ANKLE FRAC,449.63,374.7,NA,NA,0,90,NA
27816,CLOSED TREATMENT OF TRIMALLEOLAR ANKLE F,173.26,127.57,NA,NA,0,90,NA
27818,CLOSED TREATMENT OF TRIMALLEOLAR ANKLE F,276.93,208.62,NA,NA,0,90,NA
27822,OPEN TREATMENT OF TRIMALLEOLAR ANKLE FRA,500.22,416.85,NA,NA,0,90,NA
27823,OPEN TREATMENT OF TRIMALLEOLAR ANKLE FRA,566.91,472.43,NA,NA,0,90,NA
27824,CLOSED TREATMENT OF FRACTURE OF WEIGHT B,170.45,135.08,NA,NA,0,90,NA
27825,CLOSED TREATMENT OF FRACTURE OF WEIGHT B,309.89,235.27,NA,NA,0,90,NA
27826,OPEN TREATMENT OF FRACTURE OF WEIGHT BEA,465.63,388.03,NA,NA,0,90,NA
27827,OPEN TREATMENT OF FRACTURE OF WEIGHT BEA,634.42,528.69,NA,NA,0,90,NA
27828,OPEN TREATMENT OF FRACTURE OF WEIGHT BEA,748.84,624.04,NA,NA,0,90,NA
27829,OPEN TREATMENT OF DISTAL TIBIOFIBULAR JO,367.01,305.84,NA,NA,0,90,NA
27830,CLOSED TREATMENT OF PROXIMAL TIBIOFIBULA,195.04,151.66,NA,NA,0,90,NA
27831,CLOSED TREATMENT OF PROXIMAL TIBIOFIBULA,215.56,179.63,NA,NA,0,90,NA
27832,OPEN TREATMENT OF PROXIMAL TIBIOFIBULAR,387.26,322.72,NA,NA,0,90,NA
27840,CLOSED TREATMENT OF ANKLE DISLOCATION; W,196.42,163.68,NA,NA,0,90,NA
27842,CLOSED TREATMENT OF ANKLE DISLOCATION; R,274.33,228.61,NA,NA,0,90,NA
27846,"OPEN TREATMENT OF ANKLE DISLOCATION, WIT",426.7,355.59,NA,NA,0,90,NA
27848,"OPEN TREATMENT OF ANKLE DISLOCATION, WIT",489.39,407.83,NA,NA,0,90,NA
27860,MANIPULATION OF ANKLE UNDER GENERAL ANES,102.25,85.21,NA,NA,0,10,NA
27870,"ARTHRODESIS, ANKLE, OPEN",604.96,504.13,NA,NA,0,90,NA
27871,"ARTHRODESIS, TIBIOFIBULAR JOINT, PROXIMA",401.81,334.84,NA,NA,0,90,NA
27880,"AMPUTATION, LEG, THROUGH TIBIA AND FIBUL",520.08,433.4,NA,NA,0,90,NA
27881,"AMPUTATION, LEG, THROUGH TIBIA AND FIBUL",516.36,430.3,NA,NA,0,90,NA
27882,"AMPUTATION, LEG, THROUGH TIBIA AND FIBUL",366.69,305.58,NA,NA,0,90,NA
27884,"AMPUTATION, LEG, THROUGH TIBIA AND FIBUL",337.39,281.16,NA,NA,0,90,NA
27886,"AMPUTATION, LEG, THROUGH TIBIA AND FIBUL",382.69,318.91,NA,NA,0,90,NA
27888,"AMPUTATION, ANKLE, THROUGH MALLEOLI OF T",409.08,340.9,NA,NA,0,90,NA
27889,ANKLE DISARTICULATION,398.23,331.86,NA,NA,0,90,NA
27892,"DECOMPRESSION FASCIOTOMY, LEG; ANTERIOR",316.04,263.37,NA,NA,0,90,NA
27893,"DECOMPRESSION FASCIOTOMY, LEG; POSTERIOR",313.88,261.57,NA,NA,0,90,NA
27894,"DECOMPRESSION FASCIOTOMY, LEG; ANTERIOR",476.63,397.2,NA,NA,0,90,NA
27899,"UNLISTED PROCEDURE, LEG OR ANKLE",NA,NA,NA,BR,0,0,NA
28001,"INCISION AND DRAINAGE, BURSA, FOOT",149.38,89.42,NA,NA,0,10,NA
28002,"INCISION AND DRAINAGE BELOW FASCIA, WITH",275.14,184.98,NA,NA,0,10,NA
28003,"INCISION AND DRAINAGE BELOW FASCIA, WITH",380.29,273.43,NA,NA,0,90,NA
28005,"INCISION, BONE CORTEX (EG, OSTEOMYELITIS",358.34,298.62,NA,NA,0,90,NA
28008,"FASCIOTOMY, FOOT AND/OR TOE",236.48,150.72,NA,NA,0,90,NA
28010,"TENOTOMY, PERCUTANEOUS, TOE; SINGLE TEND",131.43,104.19,NA,NA,0,90,NA
28011,"TENOTOMY, PERCUTANEOUS, TOE; MULTIPLE TE",186.13,147.32,NA,NA,0,90,NA
28020,"ARTHROTOMY, INCLUDING EXPLORATION, DRAIN",284.17,178.77,NA,NA,0,90,NA
28022,"ARTHROTOMY, INCLUDING EXPLORATION, DRAIN",259.47,165.57,NA,NA,0,90,NA
28024,"ARTHROTOMY, INCLUDING EXPLORATION, DRAIN",248.36,158.36,NA,NA,0,90,NA
28035,"RELEASE, TARSAL TUNNEL (POSTERIOR TIBIAL",282.4,178.93,NA,NA,0,90,NA
28039,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR",289.85,170.62,NA,NA,0,90,NA
28041,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR",269.26,224.39,NA,NA,0,90,NA
28043,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR",189.16,129.94,NA,NA,0,90,NA
28045,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR",264.07,163.04,NA,NA,0,90,NA
28046,"RADICAL RESECTION OF TUMOR (EG, MALIGNAN",481.36,330.37,NA,NA,0,90,NA
28047,"RADICAL RESECTION OF TUMOR (EG, MALIGNAN",564.62,470.52,NA,NA,0,90,NA
28050,ARTHROTOMY WITH BIOPSY; INTERTARSAL OR T,247,154.97,NA,NA,0,90,NA
28052,ARTHROTOMY WITH BIOPSY; METATARSOPHALANG,231.08,142.12,NA,NA,0,90,NA
28054,ARTHROTOMY WITH BIOPSY; INTERPHALANGEAL,216.59,129.63,NA,NA,0,90,NA
28055,"NEURECTOMY, INTRINSIC MUSCULATURE OF FOO",230.51,192.1,NA,NA,0,90,NA
28060,"FASCIECTOMY, PLANTAR FASCIA; PARTIAL (SE",278.27,179.18,NA,NA,0,90,NA
28062,"FASCIECTOMY, PLANTAR FASCIA; RADICAL (SE",329.28,207.74,NA,NA,0,90,NA
28070,SYNOVECTOMY; INTERTARSAL OR TARSOMETATAR,276.41,176.81,NA,NA,0,90,NA
28072,"SYNOVECTOMY; METATARSOPHALANGEAL JOINT,",271.03,172.53,NA,NA,0,90,NA
28080,"EXCISION, INTERDIGITAL (MORTON) NEUROMA,",262.6,168.59,NA,NA,0,90,NA
28086,"SYNOVECTOMY, TENDON SHEATH, FOOT; FLEXOR",310.73,183.46,NA,NA,0,90,NA
28088,"SYNOVECTOMY, TENDON SHEATH, FOOT; EXTENS",250.21,150.26,NA,NA,0,90,NA
28090,"EXCISION OF LESION, TENDON, TENDON SHEAT",251,155.03,NA,NA,0,90,NA
28092,"EXCISION OF LESION, TENDON, TENDON SHEAT",230.05,138.8,NA,NA,0,90,NA
28100,EXCISION OR CURETTAGE OF BONE CYST OR BE,332.84,201.69,NA,NA,0,90,NA
28102,EXCISION OR CURETTAGE OF BONE CYST OR BE,317.71,264.76,NA,NA,0,90,NA
28103,EXCISION OR CURETTAGE OF BONE CYST OR BE,260.7,217.25,NA,NA,0,90,NA
28104,EXCISION OR CURETTAGE OF BONE CYST OR BE,277.69,176.65,NA,NA,0,90,NA
28106,EXCISION OR CURETTAGE OF BONE CYST OR BE,275.96,229.97,NA,NA,0,90,NA
28107,EXCISION OR CURETTAGE OF BONE CYST OR BE,306.32,190.04,NA,NA,0,90,NA
28108,EXCISION OR CURETTAGE OF BONE CYST OR BE,232.5,145.56,NA,NA,0,90,NA
28110,"OSTECTOMY, PARTIAL EXCISION, FIFTH METAT",245.87,144.8,NA,NA,0,90,NA
28111,"OSTECTOMY, COMPLETE EXCISION; FIRST META",283.05,169.02,NA,NA,0,90,NA
28112,"OSTECTOMY, COMPLETE EXCISION; OTHER META",266.37,158.6,NA,NA,0,90,NA
28113,"OSTECTOMY, COMPLETE EXCISION; FIFTH META",311.63,203.3,NA,NA,0,90,NA
28114,"OSTECTOMY, COMPLETE EXCISION; ALL METATA",576.61,394.99,NA,NA,0,90,NA
28116,"OSTECTOMY, EXCISION OF TARSAL COALITION",405.35,279.14,NA,NA,0,90,NA
28118,"OSTECTOMY, CALCANEUS;",316.18,203.8,NA,NA,0,90,NA
28119,"OSTECTOMY, CALCANEUS; FOR SPUR, WITH OR",282.5,200,NA,NA,0,90,NA
28120,"PARTIAL EXCISION (CRATERIZATION, SAUCERI",321.73,196.32,NA,NA,0,90,NA
28122,"PARTIAL EXCISION (CRATERIZATION, SAUCERI",364.62,249.91,NA,NA,0,90,NA
28124,"PARTIAL EXCISION (CRATERIZATION, SAUCERI",257.84,167.28,NA,NA,0,90,NA
28126,"RESECTION, PARTIAL OR COMPLETE, PHALANGE",207.91,126.91,NA,NA,0,90,NA
28130,TALECTOMY (ASTRAGALECTOMY),376.58,313.82,NA,NA,0,90,NA
28140,METATARSECTOMY,349.18,227.82,NA,NA,0,90,NA
28150,"PHALANGECTOMY, TOE, EACH TOE",234.31,144.6,NA,NA,0,90,NA
28153,"RESECTION, CONDYLE(S), DISTAL END OF PHA",215.79,129.17,NA,NA,0,90,NA
28160,HEMIPHALANGECTOMY OR INTERPHALANGEAL JOI,222.29,137.87,NA,NA,0,90,NA
28171,RADICAL RESECTION OF TUMOR; TARSAL (EXCE,NA,NA,NA,BR,0,90,NA
28173,RADICAL RESECTION OF TUMOR; METATARSAL,410.68,275.57,NA,NA,0,90,NA
28175,RADICAL RESECTION OF TUMOR; PHALANX OF T,300.48,193.79,NA,NA,0,90,NA
28190,"REMOVAL OF FOREIGN BODY, FOOT; SUBCUTANE",136.33,66.64,NA,NA,0,10,NA
28192,"REMOVAL OF FOREIGN BODY, FOOT; DEEP",259.54,161.32,NA,NA,0,90,NA
28193,"REMOVAL OF FOREIGN BODY, FOOT; COMPLICAT",293.81,189.68,NA,NA,0,90,NA
28200,"REPAIR, TENDON, FLEXOR, FOOT; PRIMARY OR",255.9,159.93,NA,NA,0,90,NA
28202,"REPAIR, TENDON, FLEXOR, FOOT; SECONDARY",346.83,221.75,NA,NA,0,90,NA
28208,"REPAIR, TENDON, EXTENSOR, FOOT; PRIMARY",244.69,152.43,NA,NA,0,90,NA
28210,"REPAIR, TENDON, EXTENSOR, FOOT; SECONDAR",319.2,205.7,NA,NA,0,90,NA
28220,"TENOLYSIS, FLEXOR, FOOT; SINGLE TENDON",242.54,155.15,NA,NA,0,90,NA
28222,"TENOLYSIS, FLEXOR, FOOT; MULTIPLE TENDON",281.02,185.78,NA,NA,0,90,NA
28225,"TENOLYSIS, EXTENSOR, FOOT; SINGLE TENDON",212.63,129.2,NA,NA,0,90,NA
28226,"TENOLYSIS, EXTENSOR, FOOT; MULTIPLE TEND",250.15,160.46,NA,NA,0,90,NA
28230,"TENOTOMY, OPEN, TENDON FLEXOR; FOOT, SIN",234.34,150.16,NA,NA,0,90,NA
28232,"TENOTOMY, OPEN, TENDON FLEXOR; TOE, SING",208.58,127.88,NA,NA,0,90,NA
28234,"TENOTOMY, OPEN, EXTENSOR, FOOT OR TOE, E",214.73,132.39,NA,NA,0,90,NA
28238,"RECONSTRUCTION (ADVANCEMENT), POSTERIOR",376.4,248.65,NA,NA,0,90,NA
28240,"TENOTOMY, LENGTHENING, OR RELEASE, ABDUC",237.82,151.63,NA,NA,0,90,NA
28250,DIVISION OF PLANTAR FASCIA AND MUSCLE (E,302.5,198.55,NA,NA,0,90,NA
28260,"CAPSULOTOMY, MIDFOOT; MEDIAL RELEASE ONL",372.47,257.28,NA,NA,0,90,NA
28261,"CAPSULOTOMY, MIDFOOT; WITH TENDON LENGTH",535.99,388.83,NA,NA,0,90,NA
28262,"CAPSULOTOMY, MIDFOOT; EXTENSIVE, INCLUDI",763.63,549.81,NA,NA,0,90,NA
28264,"CAPSULOTOMY, MIDTARSAL (EG, HEYMAN TYPE",471.64,343.61,NA,NA,0,90,NA
28270,"CAPSULOTOMY; METATARSOPHALANGEAL JOINT,",257.39,167.11,NA,NA,0,90,NA
28272,"CAPSULOTOMY; INTERPHALANGEAL JOINT, EACH",211.96,130.28,NA,NA,0,90,NA
28280,"SYNDACTYLIZATION, TOES (EG, WEBBING OR K",289.84,184.93,NA,NA,0,90,NA
28285,"CORRECTION, HAMMERTOE (EG, INTERPHALANGE",250.53,159.55,NA,NA,0,90,NA
28286,"CORRECTION, COCK-UP FIFTH TOE, WITH PLAS",246.19,153.88,NA,NA,0,90,NA
28288,"OSTECTOMY, PARTIAL, EXOSTECTOMY OR CONDY",312.17,209.28,NA,NA,0,90,NA
28289,HALLUX RIGIDUS CORRECTION WITH CHEILECTO,402.73,270.8,NA,NA,0,90,NA
28291,HALLUX RIGIDUS CORRECTION WITH CHEILECTO,483.23,262.27,NA,NA,0,90,NA
28292,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",417.7,285.32,NA,NA,0,90,NA
28295,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",619.82,291.84,NA,NA,0,90,NA
28296,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",435.05,285.22,NA,NA,0,90,NA
28297,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",458.65,302.01,NA,NA,0,90,NA
28298,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",390.25,254.04,NA,NA,0,90,NA
28299,"CORRECTION, HALLUX VALGUS (BUNIONIECTOMY)",500.94,340.34,NA,NA,0,90,NA
28300,"OSTEOTOMY; CALCANEUS (EG, DWYER OR CHAMB",391.59,326.33,NA,NA,0,90,NA
28302,OSTEOTOMY; TALUS,389.38,324.48,NA,NA,0,90,NA
28304,"OSTEOTOMY, TARSAL BONES, OTHER THAN CALC",433.43,292.69,NA,NA,0,90,NA
28305,"OSTEOTOMY, TARSAL BONES, OTHER THAN CALC",399.49,332.91,NA,NA,0,90,NA
28306,"OSTEOTOMY, WITH OR WITHOUT LENGTHENING,",327.15,198.79,NA,NA,0,90,NA
28307,"OSTEOTOMY, WITH OR WITHOUT LENGTHENING,",400.49,224.22,NA,NA,0,90,NA
28308,"OSTEOTOMY, WITH OR WITHOUT LENGTHENING,",293.2,181.16,NA,NA,0,90,NA
28309,"OSTEOTOMY, WITH OR WITHOUT LENGTHENING,",NA,NA,NA,BR,0,90,NA
28310,"OSTEOTOMY, SHORTENING, ANGULAR OR ROTATI",291.31,177.95,NA,NA,0,90,NA
28312,"OSTEOTOMY, SHORTENING, ANGULAR OR ROTATI",265.76,160.35,NA,NA,0,90,NA
28313,"RECONSTRUCTION, ANGULAR DEFORMITY OF TOE",274.31,186.34,NA,NA,0,90,NA
28315,"SESAMOIDECTOMY, FIRST TOE (SEPARATE PROC",256.76,162.49,NA,NA,0,90,NA
28320,"REPAIR, NONUNION OR MALUNION; TARSAL BON",373.57,311.31,NA,NA,0,90,NA
28322,"REPAIR, NONUNION OR MALUNION; METATARSAL",433.06,286.44,NA,NA,0,90,NA
28340,"RECONSTRUCTION, TOE, MACRODACTYLY; SOFT",341.47,220.77,NA,NA,0,90,NA
28341,"RECONSTRUCTION, TOE, MACRODACTYLY; REQUI",389.33,259.84,NA,NA,0,90,NA
28344,"RECONSTRUCTION, TOE(S); POLYDACTYLY",249.15,150.2,NA,NA,0,90,NA
28345,"RECONSTRUCTION, TOE(S); SYNDACTYLY, WITH",310.16,203.5,NA,NA,0,90,NA
28360,"RECONSTRUCTION, CLEFT FOOT",558.06,465.05,NA,NA,0,90,NA
28400,CLOSED TREATMENT OF CALCANEAL FRACTURE;,139.19,105.53,NA,NA,0,90,NA
28405,CLOSED TREATMENT OF CALCANEAL FRACTURE;,224.89,177.57,NA,NA,0,90,NA
28406,PERCUTANEOUS SKELETAL FIXATION OF CALCAN,308.42,257.02,NA,NA,0,90,NA
28415,"OPEN TREATMENT OF CALCANEAL FRACTURE, IN",675.23,562.69,NA,NA,0,90,NA
28420,"OPEN TREATMENT OF CALCANEAL FRACTURE, IN",701.53,584.61,NA,NA,0,90,NA
28430,CLOSED TREATMENT OF TALUS FRACTURE; WITH,130.76,94.82,NA,NA,0,90,NA
28435,CLOSED TREATMENT OF TALUS FRACTURE; WITH,179.52,140.79,NA,NA,0,90,NA
28436,PERCUTANEOUS SKELETAL FIXATION OF TALUS,246.93,205.78,NA,NA,0,90,NA
28445,"OPEN TREATMENT OF TALUS FRACTURE, INCLUD",627.7,523.08,NA,NA,0,90,NA
28446,"OPEN OSTEOCHONDRAL AUTOGRAFT, TALUS (INC",667.1,555.92,NA,NA,0,90,NA
28450,TREATMENT OF TARSAL BONE FRACTURE (EXCEP,120.47,88.71,NA,NA,0,90,NA
28455,TREATMENT OF TARSAL BONE FRACTURE (EXCEP,162.18,128.59,NA,NA,0,90,NA
28456,PERCUTANEOUS SKELETAL FIXATION OF TARSAL,162.93,135.78,NA,NA,0,90,NA
28465,OPEN TREATMENT OF TARSAL BONE FRACTURE (,353.4,294.5,NA,NA,0,90,NA
28470,CLOSED TREATMENT OF METATARSAL FRACTURE;,120.14,88.63,NA,NA,0,90,NA
28475,CLOSED TREATMENT OF METATARSAL FRACTURE;,150.09,117.49,NA,NA,0,90,NA
28476,PERCUTANEOUS SKELETAL FIXATION OF METATA,197.25,164.38,NA,NA,0,90,NA
28485,"OPEN TREATMENT OF METATARSAL FRACTURE, I",302.79,252.33,NA,NA,0,90,NA
28490,"CLOSED TREATMENT OF FRACTURE GREAT TOE,",76.54,55.58,NA,NA,0,90,NA
28495,"CLOSED TREATMENT OF FRACTURE GREAT TOE,",94.73,71.76,NA,NA,0,90,NA
28496,PERCUTANEOUS SKELETAL FIXATION OF FRACTU,249.46,110.67,NA,NA,0,90,NA
28505,"OPEN TREATMENT OF FRACTURE, GREAT TOE, P",364.9,223.69,NA,NA,0,90,NA
28510,"CLOSED TREATMENT OF FRACTURE, PHALANX OR",65.71,53.94,NA,NA,0,90,NA
28515,"CLOSED TREATMENT OF FRACTURE, PHALANX OR",85.33,67.01,NA,NA,0,90,NA
28525,"OPEN TREATMENT OF FRACTURE, PHALANX OR P",314.93,181.64,NA,NA,0,90,NA
28530,CLOSED TREATMENT OF SESAMOID FRACTURE,NA,NA,NA,BR,0,90,NA
28531,"OPEN TREATMENT OF SESAMOID FRACTURE, WIT",NA,NA,NA,BR,0,90,NA
28540,CLOSED TREATMENT OF TARSAL BONE DISLOCAT,112.21,89,NA,NA,0,90,NA
28545,CLOSED TREATMENT OF TARSAL BONE DISLOCAT,130.65,102.52,NA,NA,0,90,NA
28546,PERCUTANEOUS SKELETAL FIXATION OF TARSAL,262.99,147.79,NA,NA,0,90,NA
28555,OPEN TREATMENT OF TARSAL BONE DISLOCATIO,472.06,303.76,NA,NA,0,90,NA
28570,CLOSED TREATMENT OF TALOTARSAL JOINT DIS,100.47,76.75,NA,NA,0,90,NA
28575,CLOSED TREATMENT OF TALOTARSAL JOINT DIS,181.8,144.33,NA,NA,0,90,NA
28576,PERCUTANEOUS SKELETAL FIXATION OF TALOTA,208.43,173.69,NA,NA,0,90,NA
28585,OPEN TREATMENT OF TALOTARSAL JOINT DISLO,483.58,340.63,NA,NA,0,90,NA
28600,CLOSED TREATMENT OF TARSOMETATARSAL JOIN,117.56,89.97,NA,NA,0,90,NA
28605,CLOSED TREATMENT OF TARSOMETATARSAL JOIN,152.14,120.43,NA,NA,0,90,NA
28606,PERCUTANEOUS SKELETAL FIXATION OF TARSOM,228.2,190.17,NA,NA,0,90,NA
28615,OPEN TREATMENT OF TARSOMETATARSAL JOINT,441.73,368.11,NA,NA,0,90,NA
28630,CLOSED TREATMENT OF METATARSOPHALANGEAL,81.57,52.39,NA,NA,0,10,NA
28635,CLOSED TREATMENT OF METATARSOPHALANGEAL,98.15,67.03,NA,NA,0,10,NA
28636,PERCUTANEOUS SKELETAL FIXATION OF METATA,167.84,103.16,NA,NA,0,10,NA
28645,OPEN TREATMENT OF METATARSOPHALANGEAL JO,325.01,215.46,NA,NA,0,90,NA
28660,CLOSED TREATMENT OF INTERPHALANGEAL JOIN,59.91,39.88,NA,NA,0,10,NA
28665,CLOSED TREATMENT OF INTERPHALANGEAL JOIN,85.58,66.19,NA,NA,0,10,NA
28666,PERCUTANEOUS SKELETAL FIXATION OF INTERP,118.27,98.56,NA,NA,0,10,NA
28675,OPEN TREATMENT OF INTERPHALANGEAL JOINT,310.83,181.3,NA,NA,0,90,NA
28705,ARTHRODESIS; PANTALAR,764.29,636.91,NA,NA,0,90,NA
28715,ARTHRODESIS; TRIPLE,567.03,472.53,NA,NA,0,90,NA
28725,ARTHRODESIS; SUBTALAR,471.57,392.98,NA,NA,0,90,NA
28730,"ARTHRODESIS, MIDTARSAL OR TARSOMETATARSA",487.36,406.14,NA,NA,0,90,NA
